tokenizer,format,distribution,dim,precision_digits,n_vectors,n_tokens_total,length_mismatch_rate,mean_abs_error,median_abs_error,mean_rel_error,median_rel_error,mean_sig_digits,perfect_recovery_rate,mean_normalized_l2,mean_cosine_sim,mean_spearman_rho,mantel_r,mantel_p
mistral,csv,uniform,1,8.0,250,2948,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,8.0,250,3198,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,8.0,250,3250,0.0,2.1412800000564226e-06,2.0050000024696146e-06,5.9378853133788247e-08,4.069094176979631e-08,6.964,0.0,5.9378853133788247e-08,,,,
mistral,natural_language,uniform,1,8.0,250,3948,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,8.0,250,5146,1.0,44.75969522056001,44.964551990000004,0.8488077753768601,0.9094189257752421,0.056,0.0,0.8488077753768601,,,,
gpt4o,csv,uniform,1,8.0,250,1246,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,8.0,250,1746,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,8.0,250,1750,0.0,2.1412800000564226e-06,2.0050000024696146e-06,5.9378853133788247e-08,4.069094176979631e-08,6.964,0.0,5.9378853133788247e-08,,,,
gpt4o,natural_language,uniform,1,8.0,250,2496,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,8.0,250,4896,1.0,44.75969522056001,44.964551990000004,0.8488077753768601,0.9094189257752421,0.056,0.0,0.8488077753768601,,,,
python_str,csv,uniform,1,8.0,250,2698,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,8.0,250,3198,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,8.0,250,3000,0.0,2.1412800000564226e-06,2.0050000024696146e-06,5.9378853133788247e-08,4.069094176979631e-08,6.964,0.0,5.9378853133788247e-08,,,,
python_str,natural_language,uniform,1,8.0,250,6198,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,8.0,250,5146,1.0,44.75969522056001,44.964551990000004,0.8488077753768601,0.9094189257752421,0.056,0.0,0.8488077753768601,,,,
float16,native,uniform,1,,250,0,0.0,inf,inf,inf,inf,0.184,0.0,inf,,,,
llama3,csv,uniform,1,,250,1728,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,,250,2228,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,,250,1750,0.0,0.021410383036647544,0.02004062762716785,5.939646299277122e-08,4.0704064834548594e-08,6.968,0.0,5.939646299277122e-08,,,,
llama3,natural_language,uniform,1,,250,2978,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,,250,8084,1.0,496072.076205571,489641.51985302713,0.9999810776025722,0.9999909341006267,0.0,0.0,0.9999810776025722,,,,
mistral,csv,uniform,1,,250,4542,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,,250,4792,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,,250,3250,0.0,0.021410383036647544,0.02004062762716785,5.939646299277122e-08,4.0704064834548594e-08,6.968,0.0,5.939646299277122e-08,,,,
mistral,natural_language,uniform,1,,250,5542,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,,250,8334,1.0,496072.076205571,489641.51985302713,0.9999810776025722,0.9999909341006267,0.0,0.0,0.9999810776025722,,,,
gpt4o,csv,uniform,1,,250,1728,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,,250,2228,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,,250,1750,0.0,0.021410383036647544,0.02004062762716785,5.939646299277122e-08,4.0704064834548594e-08,6.968,0.0,5.939646299277122e-08,,,,
gpt4o,natural_language,uniform,1,,250,2978,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,,250,8084,1.0,496072.076205571,489641.51985302713,0.9999810776025722,0.9999909341006267,0.0,0.0,0.9999810776025722,,,,
python_str,csv,uniform,1,,250,4292,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,,250,4792,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,,250,3000,0.0,0.021410383036647544,0.02004062762716785,5.939646299277122e-08,4.0704064834548594e-08,6.968,0.0,5.939646299277122e-08,,,,
python_str,natural_language,uniform,1,,250,7792,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,,250,8334,1.0,496072.076205571,489641.51985302713,0.9999810776025722,0.9999909341006267,0.0,0.0,0.9999810776025722,,,,
float16,native,uniform,1,2.0,250,0,0.0,inf,inf,inf,inf,0.184,0.0,inf,,,,
llama3,csv,uniform,1,2.0,250,1000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,2.0,250,1500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,2.0,250,1750,0.0,0.0210399999981164,0.02000000001862645,5.356789661916048e-08,3.781739544575563e-08,8.88,0.224,5.356789661916048e-08,,,,
llama3,natural_language,uniform,1,2.0,250,2250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
